"fiscal_year","canonical_id","canonical_name","facility_name","facility_city","facility_state","detloc","facility_address","facility_zip","facility_type_detailed","facility_male_female","adp","source","facility_type_wiki","facility_aor","facility_average_length_of_stay_alos","adp_detainee_classification_level_a","adp_detainee_classification_level_b","adp_detainee_classification_level_c","adp_detainee_classification_level_d","adp_criminality_male_crim","adp_criminality_male_non_crim","adp_criminality_female_crim","adp_criminality_female_non_crim","adp_ice_threat_level_1","adp_ice_threat_level_2","adp_ice_threat_level_3","adp_no_ice_threat_level","adp_mandatory","inspections_guaranteed_minimum","inspections_last_inspection_type","inspections_last_inspection_standard","inspections_last_inspection_rating_final","inspections_last_inspection_date","inspections_second_to_last_inspection_type","inspections_second_to_last_inspection_standard","inspections_second_to_last_inspection_rating","inspections_second_to_last_inspection_date","sum_classification_levels","sum_criminality_levels","sum_threat_levels","share_non_crim","share_no_threat","inspections_odo_inspection_end_date","inspections_odo_last_inspection_standard","inspections_odo_final_rating","inspections_last_nakamoto_inspection_standard","inspections_last_nakamoto_inspection_rating_final","inspections_last_nakamoto_inspection_date","inspections_second_to_last_nakamoto_inspection_type","inspections_second_to_last_nakamoto_inspection_standard","inspections_second_to_last_nakamoto_inspection_date","inspections_last_inspection_end_date","inspections_pending_inspection","inspections_last_final_rating"
"FY10",83,"Clinton County Jail","Clinton County Jail","Plattsburgh","NY","CLICONY","25 Mccarthy Drive","12901","USMS IGA","Female/Male",13,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",85,"Cobb County Jail","Cobb County Jail","Marietta","GA","COBBJGA","1825 County Services Parkway","30060","IGSA","Male",12,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",86,"Collier County Naples Jail Center","Collier County Naples Jail Center","Naples","FL","COLLIFL","3301 Tamiami Trail East","34112","IGSA","Male",8,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",91,"Cumberland County Jail","Cumberland County Jail","Portland","ME","CUMBEME","50 County Way","04102","USMS IGA","Male",13,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",92,"Dakota County Jail","Dakota County Jail","Dakota City","NE","DAKOTNE","1601 Broadway","68731","USMS IGA","Female/Male",2,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",94,"Davidson County Sheriff","Davidson County Sheriff","Nashville","TN","DAVIDTN","448 2nd Avenue","37210","IGSA","Male",17,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",98,"Dekalb County Detention Center","Dekalb County Detention Center","Fort Payne","AL","DEKALAL","2801 Jordan Road","35968","USMS IGA","Female/Male",44,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",101,"Denver Contract Detention Facility","Denver Contract Detention Facility","Aurora","CO","DENICDF","3130 N. Oakland St.","80010","CDF","Female/Male",414,"faclist17","Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",109,"Dodge County Jail","Dodge County Jail","Juneau","WI","DODGEWI","215 West Central Street","53039","USMS IGA","Female/Male",145,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",114,"Douglas County Department of Corrections","Douglas County Department of Corrections","Omaha","NE","DOCORNE","710 South 17th St","68102","IGSA","Female/Male",108,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",119,"El Paso Service Processing Center","El Paso Service Processing Center","El Paso","TX","EPC","8915 Montana Ave.","79925","SPC","Female/Male",794,"faclist17","ICE Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",121,"Elizabeth Detention Center","Elizabeth Detention Center","Elizabeth","NJ","ELZICDF","625 Evans Street","07201","CDF","Female/Male",231,"faclist17","Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",122,"Elmore County Jail","Elmore County Jail","Mountain Home","ID","ELMORID","2255 E. 8th North","83647","USMS IGA","Male",6,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",123,"Eloy Detention Center","Eloy Detention Center","Eloy","AZ","EAZ","1705 East Hanna Rd.","85131","DIGSA","Female/Male",1487,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",124,"Erie County Jail","Erie County Jail","Erie","PA","ERICOPA","1618 Ash Street","16503","USMS IGA","Male",8,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",125,"Delaney Hall Detention Facility","Essex County Correctional Facility","Newark","NJ","ESSEXNJ","354 Doremus Avenue","07105","IGSA","Male",395,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",127,"Etowah County Jail","Etowah County Jail (Alabama)","Gadsden","AL","ETOWAAL","827 Forrest Avenue","35901","USMS IGA","Male",360,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",128,"Euless City Jail","Euless City Jail","Euless","TX","EULESTX","1102 W. Euless Blvd.","76040","IGSA","Female/Male",9,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",134,"Florence Service Processing Center","Florence Service Processing Center","Florence","AZ","FLO","3250 North Pinal Parkway","85132","SPC","Male",385,"faclist17","ICE Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",142,"Franklin County House of Correction","Franklin County House of Correction","Greenfield","MA","GREENMA","160 Elm Street","01301","USMS IGA","Male",31,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",144,"Frederick County Detention Center","Frederick County Detention Center","Frederick","MD","FREDEMD","7300 Marcie's Choice Lane","21704","IGSA","Male",49,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",145,"Freeborn County Adult Detention Center","Freeborn County Adult Detention Center","Albert Lea","MN","FREEBMN","411 South Broadway Avenue","56007","IGSA","Male",72,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",147,"Garvin County Detention Center","Garvin County Detention Center","Pauls Valley","OK","GARVIOK","201 West Grant Avenue","73075","IGSA","Male",6,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",148,"Gaston County Jail","Gaston County Jail","Gastonia","NC","GASTNNC","425 North Marietta Street","28052","IGSA","Male",2,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",150,"Glades County Detention Center","Glades County Detention Center","Moore Haven","FL","GLADEFL","1297 East Sr 78","33471","IGSA","Female/Male",418,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",152,"Grand Forks County Correctional Facility","Grand Forks County Correctional Facility","Grand Forks","ND","GFCORND","1701 North Washington St","58206","IGSA","Female/Male",22,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",156,"Hall County Department of Corrections","Hall County Department of Corrections","Grand Island","NE","HASHENE","110 Public Safety Drive","68801","IGSA","Male",67,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",159,"Hardin County Jail","Hardin County Jail","Eldora","IA","HARDJIA","1116 14th Avenue","50627","IGSA","Female/Male",70,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",168,"Houston Processing Center","Houston Processing Center","Houston","TX","HOUICDF","15850 Export Plaza Drive","77032","CDF","Female/Male",866,"faclist17","Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",169,"Howard County Detention Center","Howard County Detention Center","Jessup","MD","HOWARMD","7301 Waterloo Road","20794","IGSA","Male",41,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",170,"Hudson County Correctional Center","Hudson County Correctional Center","Kearny","NJ","HUDSONJ","30-35 Hackensack Ave.","07032","USMS IGA","Female/Male",362,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",171,"IAH Secure Adult Detention Facility (Polk)","Polk County Adult Detention Facility","Livingston","TX","POLKCTX","3400 Fm 350 South","77351","IGSA","Male",836,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",180,"Jefferson County Jail","Jefferson County Jail","Rigby","ID","JEFFEID","219 East Fremont Ave","83442","IGSA","Male",3,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",182,"Joe Corley Processing Center","Joe Corley Detention Facility","Conroe","TX","MONTGTX","500 Hilbig Rd.","77301","IGSA","Female/Male",369,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",183,"Johnson County Corrections Center","Johnson County Law Enforcement Center","Cleburne","TX","JOHNSTX","1800 Ridgemar Drive","76031","IGSA","Male",128,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",188,"Karnes County Correctional Center","Karnes County Correctional Center","Karnes City","TX","KARNETX","810 Commerce Street","78118","USMS IGA","Male",19,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",193,"Kenosha County Detention Center","Kenosha County Detention Center","Kenosha","WI","KENOSWI","4777 88th Avenue","53144","USMS IGA","Female/Male",159,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",197,"Krome North Service Processing Center","Krome North Service Processing Center","Miami","FL","KRO","18201 Southwest 12th Street","33194","SPC","Male",531,"faclist17","ICE Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",206,"Laredo Processing Center","Laredo Processing Center","Laredo","TX","LRDICDF","4702 East Saunders Street","78041","USMS IGA","Female",242,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",208,"Central Louisiana ICE Processing Center (CLIPC)","Jena/Lasalle Detention Facility","Jena","LA","JENADLA","830 Pinehill Road","71342","DIGSA","Female/Male",831,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",216,"Lincoln County Detention Center","Lincoln County Detention Center","Troy","MO","LINCOMO","65 Business Park Drive","63379","IGSA","Female/Male",9,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",218,"Linn County Jail","Linn County Jail","Cedar Rapids","IA","LINNJIA","53 3rd Avenue Bridge","52401","USMS IGA","Female/Male",9,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",220,"Lonoke Police Department","Lonoke Police Department","Lonoke","AR","LONPDAR","203 W. Front Street","72086","IGSA","Female/Male",3,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",222,"Lubbock County Detention Center","Lubbock County Detention Center","Lubbock","TX","LUBBOTX","811 Main Street","79401","USMS IGA","Male",2,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",226,"Marion County Jail","Marion County Jail","Indianapolis","IN","MARIOIN","40 South Alabama Street","46204","USMS IGA","Female/Male",4,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",230,"Mchenry County Correctional Facility","Mchenry County Correctional Facility","Woodstock","IL","MCHENIL","2200 North Seminary Avenue","60098","USMS IGA","Female/Male",226,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",236,"Miller County Jail","Miller County Jail","Texarkana","AR","MILLRAR","2300 East Street","71854","USMS IGA","Male",3,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",237,"Minicassia Detention Center","Minicassia Detention Center","Burley","ID","MINICID","1415 Albion Avenue","83318","IGSA","Male",5,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",239,"Monroe County Detention Center","Monroe County Detention Center","Key West","FL","MONROFL","5501 College Road","33040","IGSA","Male",16,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",243,"Montgomery County Jail","Montgomery County Jail","Montgomery City","MO","MONTGMO","211 East Third Street","63361","IGSA","Male",32,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",245,"Morgan County Adult Detention Center","Morgan County Adult Detention Center","Versailles","MO","MORGNMO","211 East Newton Street","65084","IGSA","Male",34,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",246,"Morrow County Correctional Facility","Morrow County Correctional Facility","Mount Gilead","OH","MOROWOH","101 Home Road","43338","IGSA","Female/Male",54,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",252,"Natrona County Jail","Natrona County Jail","Casper","WY","NATROWY","1100 Bruce Lane","82601","USMS IGA","Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",257,"Nobles County Jail","Nobles County Jail","Worthington","MN","NOBLEMN","1530 Airport Road","56187","IGSA","Female/Male",4,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",263,"Northern Oregon Correctional Facility","Northern Oregon Correctional Facility","The Dalles","OR","NORCOOR","211 Webber Road","97058","IGSA","Female/Male",8,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",278,"Orange County Jail (Florida)","Orange County Jail","Orlando","FL","ORANGFL","3855 South John Young Parkway","32839","USMS IGA","Female/Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",279,"Orange County Jail (New York)","Orange County Jail","Goshen","NY","ORANGNY","110 Wells Farm Road","10924","IGSA","Female/Male",109,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",281,"Otay Mesa Detention Center","Otay Mesa Detention Center (San Diego Cdf)","San Diego","CA","CCASDCA","7488 Calzada De La Fuente","92154","USMS CDF","Female/Male",667,"faclist17","Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",283,"Otero County Processing Center","Otero County Processing Center","Chaparral","NM","OTRPCNM","26 Mcgregor Range Road","88081","DIGSA","Male",869,"faclist17","Dedicated Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",285,"Pennington County Jail (South Dakota)","Pennington County Jail (South Dakota)","Rapid City","SD","PENNISD","307 Saint Joseph Street","57701","USMS IGA","Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",288,"Phelps County Jail (Nebraska)","Phelps County Jail","Holdrege","NE","PHELPNE","715 5th Avenue","68949","USMS IGA","Male",23,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",291,"Pike County Jail","Pike County Correctional Facility","Lords Valley","PA","PIKCOPA","175 Pike County Boulevard","18428","IGSA","Male",172,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY10",293,"Pinellas County Jail","Pinellas County Jail","Clearwater","FL","PINELFL","14400 49th Street North","33762","USMS IGA","Male",1,"faclist17","Jail/Prison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
