canonical_id,canonical_name,canonical_city,canonical_state
383,Webb County Detention Center (CCA),Laredo,TX
384,Weber County Jail,Ogden,UT
385,West Texas Detention Facility,Sierra Blanca,TX
386,Western Regional Jail And Correctional Facility,Barboursville,WV
387,Western Tennessee Detention Facility,Mason,TN
388,Western Virginia Regional Jail,Salem,VA
389,Whitfield County Jail,Dalton,GA
390,Wingate-Wyndham Casa Esperanza,Yuma,AZ
391,Winn Correctional Center,Winnfield,LA
392,Woodbury County Jail,Sioux City,IA
393,Worcester County Jail,Snow Hill,MD
394,Wyatt Detention Center,Central Falls,RI
395,Yakima County Department of Corrections,Yakima,WA
396,Yankton County Jail,Yankton,SD
397,York County Prison,York,PA
398,Yuba County Jail,Marysville,CA
1001,Atlanta City Detention Center,Atlanta,GA
1002,Folkston ICE Processing Center (D. Ray James),Folkston,GA
1003,Contra Costa County Jail West,Richmond,CA
1004,Rio Cosumnes Correctional. Center,Elk Grove,CA
1005,Otero County Prison Facility,Chaparral,NM
1006,York County Detention Center,York,SC
1007,Willacy County Regional Detention Facility,Raymondville,TX
1008,Ramsey County Adult Detention Center,St. Paul,MN
1009,Dearborn Police Department,Dearborn,MI
1010,Wayne County Jail,Lyons,NY
1011,Hall County Jail,Gainesville,GA
1012,Mecklenburg County Detention Center North,Charlotte,NC
1013,Alexandria City Jail,Alexandria,VA
1014,Josephine County Jail,Grants Pass,OR
1015,Rock Island County Correctional Center,Rock Island,IL
1016,El Paso County Criminal Justice Center,Colorado Springs,CO
1017,Elgin Police Department,Elgin,IL
1018,Moffat County Jail,Craig,CO
1019,Orange County Intake Release Facility,Santa Ana,CA
1020,Kent County Jail,Grand Rapids,MI
1021,Glendale Police Department,Glendale,CA
1022,Tom Green County Jail,San Angelo,TX
1023,Yavapai County Detention Center,Camp Verde,AZ
1024,Dale G. Haile Detention Center,Caldwell,ID
1025,Sangamon County Jail,Springfield,IL
1026,Prince William County Correctional Facility,Manassas,VA
1027,Fairfax County Adult Detention Center,Fairfax,VA
1028,Norfolk County Jail,Dedham,MA
1029,Santa Cruz County Jail,Nogales,AZ
1030,Taylor County Adult Detention Facility,Abilene,TX
1031,Titus County Jail,Mt. Pleasant,TX
1032,Alhambra City Jail,Alhambra,CA
1033,Allegheny County Jail,Pittsburgh,PA
1034,Apache County Jail,St Johns,AZ
1035,Bedford Heights City Jail,Bedford Hts,OH
1036,Coconino County Detention Facility,Flagstaff,AZ
1037,Eastern Regional Jail,Martinsburg,WV
1038,La Plata County Jail,Durango,CO
1039,Mecklenburg County Jail Central,Charlotte,NC
1040,Mississippi County Detention Center,Charleston,MO
1041,Montgomery County Correctional Facility,Norristown,PA
1042,Montgomery County Mac Sim Butler Detention Facilit,Montgomery,AL
1043,Navajo County Sheriff,Holbrook,AZ
1044,Ontario County Jail,Canandaigua,NY
1045,Orange County Central Women's Jail,Santa Ana,CA
1046,Pomona City Jail,Pomona,CA
1047,Pueblo County Jail,Pueblo,CO
1048,Rice County Detention Center,Lyons,KS
1049,Salem County Correctional Facility,Woodstown,NJ
1050,San Bernardino County Jail,San Bernardino,CA
1051,Santa Ana City Jail,Santa Ana,CA
1052,Tensas Parish Detention Center,Waterproof,LA
1053,Utah County Jail,Spanish Fork,UT
