canonical_id,address_string,google_lat,google_lon
288,"715 5th Avenue, Holdrege, NE, 68949, USA",40.4395445,-99.3703646
289,"188 Cemetery St, Carrollton, AL, 35447, USA",33.260415,-88.0959692
291,"175 Pike County Boulevard, Lords Valley, PA, 18428, USA",41.3890147,-75.0713413
292,"1133 Hampton Dupre Road, Pine Prairie, LA, 70576, USA",30.7886095,-92.4235146
293,"14400 49th Street North, Clearwater, FL, 33762, USA",27.9052741,-82.70221950000001
294,"415 Third Street, Platte City, MO, 64079, USA",39.3714749,-94.7801172
295,"850 Maple Street, Wheatland, WY, 82201, USA",42.05559290000001,-104.9522605
296,"26 Long Pond Road, Plymouth, MA, 02360, USA",41.9313647,-70.6510495
297,"1985 NE 51st Place, Des Moines, IA, 50313, USA",41.6534852,-93.587758
300,"1400 Big Lake Road, Council Bluffs, IA, 51501, USA",41.2842697,-95.8653913
302,"1209 Sunflower Ln, Alvarado, TX, 76009, USA",32.4065312,-97.2116782
303,"508 Waterworks Road, Farmville, VA, 23901, USA",37.32051570000001,-78.4408127
304,"1026 Shawnee College Road, Ullin, IL, 62992, USA",37.2690407,-89.1641356
305,"421 E Spring St., Cookeville, TN, 38501, USA",36.1614631,-85.4978924
306,"9100 South Georgia Street, Amarillo, TX, 79118, USA",35.115385,-101.8680283
307,"16838 International Blvd, Seatac, WA, 98188, USA",47.45144699999999,-122.2948795
308,"4000 Main Street, Troy, NY, 12180, USA",42.7095864,-73.70107660000001
310,"180 Pine Bayou Circle, Monroe, LA, 71202, USA",32.4568901,-92.0784706
311,"640 Cherry Street, Del Norte, CO, 81132, USA",37.6764999,-106.3504446
312,"1001 San Rio Boulevard, Laredo, TX, 78046, USA",27.377685,-99.4901498
313,"27991 Buena Vista Boulevard, Los Fresnos, TX, 78566, USA",26.1569011,-97.3505561
314,"26362 Highway 15, Ferriday, LA, 71334, USA",31.5971028,-91.5580974
315,"4095 Lemon Street, Riverside, CA, 92225, USA",33.9783467,-117.3744144
316,"1000 River Road, Hopewell, VA, 23860, USA",37.2989493,-77.33093749999999
317,"340 Campbell Avenue Southwest, Roanoke, VA, 24016, USA",37.2711908,-79.9471628
318,"11866 Hastings Bridge Road P.o. Box 429, Lovejoy, GA, 30250, USA",33.43492120000001,-84.3064491
